States;Municipalities;emi_2017;emi_2018;emi_agri_2017;emi_agri_2018;emi_luc_2017;emi_luc_2018;emi_energy_2017;emi_energy_2018;emi_wast_2017;emi_waste_2018;va_2017;imp_2017;pib_2017;pib_percapta_2017;va_2018;imp_2018;pib_2018;pib_percapta_2018
BA;Formosa do Rio Preto;1144184.1;1300880.03;336223.51;386492.66;717982;818989;82355.64;87860.38;7622.94;7537.99;1652504.35;92278.59;1744782.94;67334.94;2589307.58;105841.6;2695149.18;106481.34
TO;Formoso do Araguaia;1519060.28;1327504.99;812940.87;654814.5;679149;644039;18579.25;20194.14;8391.16;8457.35;371589.86;24562.75;396152.61;21202.77;324680.01;24882.24;349562.25;18913.66
TO;Fortaleza do Tabocão;314260.68;348770.96;110869.25;112367.29;51228;64046;150707.38;170948.9;1456.06;1408.78;127127.07;23883.83;151010.9;58440.75;155493.49;31878.52;187372.01;72737.58
MA;Fortaleza dos Nogueiras;343067.47;435492.43;151078.93;162016.66;178371;259451;9796.79;10138;3820.75;3886.77;135194.76;6642.76;141837.51;11435.74;150813.76;7770.67;158584.43;12571.1
MA;Fortuna;342164.06;234110.26;73434.5;74977.54;260659;151514;3904.08;3491.39;4166.48;4127.32;98284.78;4413.89;102698.68;6729.04;103045.57;5142.65;108188.22;6963.71
PI;Gilbués;169041.3;167235.96;55338;52012.57;105723;106979;5107.18;5287.31;2873.12;2957.08;174118.93;11761.96;185880.89;17665.93;211659.04;14690.07;226349.11;21181.84
TO;Goianorte;404637.91;334198.96;217647.86;203978.61;180681;123959;3865.31;3801;2443.73;2460.35;75069.84;4172.23;79242.07;15377.85;71608.72;3756.69;75365.42;14731.32
TO;Goiatins;626783.91;689879.93;142461.5;144151.61;476539;537700;4485.6;4721.78;3297.81;3306.54;145326.84;4686.93;150013.77;11563.54;156310.82;5307.37;161618.19;12487.88
MA;Gonçalves Dias;653207.25;471776;64378.28;72995.99;576024;387881;8385.77;6370.73;4419.2;4528.29;108381.67;6159.91;114541.57;6513.22;114317.75;6559.3;120877.05;6743.87
MA;Governador Archer;370852.7;199553.49;57668.4;62552.33;310026;134065;477.54;138.79;2680.75;2797.37;64838.39;2402.27;67240.66;6284.17;74991.28;2740.18;77731.45;7202.02
MA;Governador Edison Lobão;190653.26;190762.46;64755.12;68573.47;83628;84467;36173.15;31613.71;6096.98;6108.28;238984.12;23412.15;262396.27;14326.07;237098.02;19978.39;257076.42;14228.27
MA;Governador Eugênio Barros;411916.15;304530.01;53504.59;55938.14;351578;241044;2843.08;3487.47;3990.49;4060.41;91566.26;3495.44;95061.69;5732.82;93695.94;4082.76;97778.7;5829.88
MA;Governador Luiz Rocha;280437.04;192321.03;24503.88;26257.44;251928;162104;2318.29;2138.37;1686.86;1821.22;49079.51;1830.46;50909.97;6604.82;53361.3;2158.34;55519.64;7143.55
