States,Municipalities,emi_2018,emi_agri_2018,emi_luc_2018,emi_energy_2018,emi_waste_2018,pib_2018,population,Agriculture,LUC,Energy,Waste,group,group_name
MA,Governador Edison Lobão,190762.46,68573.47,84467,31613.71,6108.28,257076.42,18068,0.3594704639476761,0.4427862798582069,0.16572291005263823,0.03202034614147878,6,G6
MA,Governador Eugênio Barros,304530.01999999996,55938.14,241044,3487.47,4060.41,97778.7,16771,0.18368678398274169,0.7915278762993547,0.011451974422751492,0.013333365295152184,5,G5
MA,Governador Luiz Rocha,192321.03,26257.44,162104,2138.37,1821.22,55519.64,7771,0.1365292188794954,0.8428823410523539,0.01111875284777749,0.009469687220373144,5,G5
MA,Graça Aranha,167137.78,18984.5,145531,1271.15,1351.13,44434.92,6262,0.11358592892642226,0.8707247397925233,0.007605401962380977,0.008083929318673492,5,G5
MA,Grajaú,1978841.3099999998,386536.69,1471716,101171.49,19417.13,751654.33,68876,0.19533485987312446,0.743726135371613,0.051126631270902674,0.009812373484359897,5,G5
TO,Guaraí,959811.57,238874.74,652533,53267.95,15135.88,651471.89,25676,0.24887670399722311,0.6798553178516071,0.05549834120045042,0.0157696369507194,1,G1
TO,Gurupi,557593.11,186711.7,150063,173881.4,46937.01,2202619.84,85737,0.33485295397570464,0.2691263527269912,0.31184280594858854,0.08417788734871563,6,G6
MA,Humberto de Campos,53128.380000000005,6378.04,32767,8563.61,5419.73,161349.04,28497,0.12004958555107458,0.6167513483377434,0.1611871094130858,0.10201195669809618,1,G1
MA,Igarapé Grande,85883.89,39173.22,38392,4614.06,3704.61,89017.33,11252,0.45611837097737423,0.44702213651477596,0.053724394644909544,0.04313509786294031,2,G2
MA,Imperatriz,1217486.75,158429.89,212990,557437.97,288628.89,7126745.97,258016,0.13012863589685886,0.17494235563549254,0.4578595783485939,0.2370694301190547,3,G3
TO,Ipueiras,194444.86000000002,86109.4,89779,11783.29,6773.17,30353.79,1976,0.44284739642899273,0.461719584667859,0.06059964763275306,0.03483337127039511,2,G2
TO,Itacajá,506337.17,161662.23,337767,3908.28,2999.66,99453.55,7414,0.31927782430035706,0.6670792112694394,0.007718730189213642,0.00592423424099005,1,G1
TO,Itaguatins,220999.76,110369.16,107860,873.29,1897.31,64203.03,5896,0.49940850614498405,0.4880548286568275,0.003951542752806609,0.008585122445381841,2,G2
MA,Itaipava do Grajaú,382050.25,61881.67,315268,1885.07,3015.51,84413.43,15897,0.1619725939192554,0.8252003499539655,0.004934089167589866,0.00789296695918927,5,G5
MA,Itapecuru Mirim,332933.24000000005,48376.98,203998,57650.46,22907.8,564546.9,67672,0.1453053471020196,0.6127294469005257,0.1731592195480391,0.06880598644941549,1,G1
TO,Itapiratins,372763.81,131128.97,237370,2986.34,1278.5,71019.5,3757,0.35177494832451683,0.6367839195548516,0.008011346380433229,0.003429785740198331,1,G1
TO,Itaporã do Tocantins,236218.90000000002,193765.04,40279,1031.32,1143.54,43126.17,2435,0.8202774629803119,0.17051556839863363,0.004365950396009802,0.00484101822504465,4,G4
MA,Itinga do Maranhão,1660611.19,227694.68,1391740,29303.1,11873.41,321167.19,25931,0.13711498595887459,0.8380890170925561,0.01764597286617104,0.007150024082398241,5,G5
BA,Jaborandi,926377.64,281619.88,609536,28656.16,6565.6,665555.42,8496,0.30400116306779595,0.6579778846993759,0.030933561824743525,0.007087390408084548,1,G1
MA,Jatobá,234616.72,58205.57,161493,9312.02,5606.13,64965.42,9993,0.24808790268656045,0.6883269018508144,0.03969035113950958,0.02389484432311559,1,G1
TO,Jaú do Tocantins,365353.00000000006,172609.04,189214,2426.01,1103.95,59958.54,3819,0.4724445673088766,0.5178936535350742,0.006640180866175999,0.003021598289873081,2,G2
MA,Jenipapo dos Vieiras,674038.72,124319.54,543717,2803.85,3198.33,93760.87,16432,0.1844397603745969,0.8066554396162879,0.004159775865695075,0.004745024143420129,5,G5
MA,João Lisboa,275011.51,172125.26,89570,6745.84,6570.41,216823.61,23695,0.6258838402799941,0.32569545907369474,0.024529300609999923,0.023891400036311208,2,G2
MA,Joselândia,204400.15,38361.39,158504,4088.55,3446.21,100482.81,16136,0.18767789553970485,0.7754593135083316,0.020002676123280733,0.016860114828682857,5,G5
TO,Juarina,96969.38,56152.57,38721,908.42,1187.39,30531.73,2202,0.579075270977292,0.3993116177498505,0.00936811187201568,0.012244999400841792,2,G2
PI,Júlio Borges,32342.72,28889.58,1243,959.93,1250.21,43181.85,5614,0.8932328511640333,0.03843214176173185,0.029679940338969632,0.03865506673526531,4,G4
MA,Lago do Junco,69727.09999999999,21980.73,44561,778.15,2407.22,69286.59,10807,0.3152394119359618,0.6390772024076723,0.011159936380546446,0.03452344927581959,1,G1
MA,Lago dos Rodrigues,52074.26,30434.13,16690,2303.39,2646.74,79721.28,8889,0.5844371096199926,0.32050383433197127,0.044232793706526025,0.050826262341509984,2,G2
